tweet_id,retweet_count,favorite_count,hashtag
860563773140209665,1930,6939,None
860524505164394496,4778,21919,None
860276583193509888,3182,17093,None
860184849394610176,5310,15445,None
860177593139703809,27903,0,None
859924526012018688,3708,18201,None
859851578198683649,3193,14372,None
859607811541651456,1406,17343,None
859196978902773760,27328,83140,None
859074603037188101,12408,31399,None
858860390427611136,7373,0,None
858843525470990336,3154,14537,None
858471635011153920,4428,20112,None
858107933456039936,2631,14671,None
857989990357356544,2352,14960,None
857746408056729600,9707,31848,None
857393404942143489,1494,5490,None
857263160327368704,4133,18775,None
857214891891077121,16,210,None
857062103051644929,154,0,None
857029823797047296,3638,17592,None
856543823941562368,2644,15309,None
856526610513747968,1724,11147,None
856330835276025856,614,0,None
856288084350160898,15,484,None
856282028240666624,5779,25979,None
855862651834028034,22,312,None
855860136149123072,891,4588,None
855857698524602368,1939,11156,None
855851453814013952,16679,43113,ScienceMarch
855818117272018944,4998,25036,None
855459453768019968,7567,27956,None
855245323840757760,5492,0,None
855138241867124737,39,0,None
854732716440526848,5591,21363,None
854482394044301312,6284,27444,None
854365224396361728,4329,17757,None
854120357044912130,6897,30094,None
854010172552949760,2916,15314,None
853760880890318849,5334,26924,None
853639147608842240,9260,32642,None
853299958564483072,3292,14628,None
852936405516943360,1853,0,None
852912242202992640,1671,8513,None
852672615818899456,2010,14118,None
852553447878664193,3240,15395,None
852311364735569921,9239,31351,None
852226086759018497,6352,18884,None
852189679701164033,1476,10886,None
851861385021730816,19,0,None
851591660324737024,3246,15443,None
851464819735769094,6574,23017,None
851224888060895234,5375,19653,None
850753642995093505,8448,29141,None
850380195714523136,2429,12460,None
850333567704068097,307,3285,None
850145622816686080,3533,15498,None
850019790995546112,4554,19402,None
849776966551130114,7099,28872,None
849668094696017920,4646,0,None
849412302885593088,2949,15134,None
849336543269576704,1765,10870,None
849051919805034497,7935,40306,None
848690551926992896,4064,24031,None
848324959059550208,4332,23575,None
848213670039564288,674,7797,None
848212111729840128,2830,15562,None
847978865427394560,3053,0,None
847971574464610304,414,0,None
847962785489326080,4773,22441,None
847842811428974592,1236,5174,None
847617282490613760,388,6685,None
847606175596138505,3219,17934,None
847251039262605312,4081,19577,None
847157206088847362,5485,18948,None
847116187444137987,2994,20517,None
846874817362120707,3692,19214,None
846514051647705089,10851,42542,None
846505985330044928,2890,13503,None
846153765933735936,8516,30122,None
846139713627017216,9521,29703,None
846042936437604353,2694,15297,None
845812042753855489,8188,27951,None
845677943972139009,4543,24141,None
845397057150107648,1679,7310,None
845306882940190720,5061,22350,None
845098359547420673,7209,0,None
844979544864018432,2405,13076,None
844973813909606400,2983,14394,None
844580511645339650,2931,15782,None
844223788422217728,2067,13121,None
843981021012017153,2801,14580,None
843856843873095681,4352,20622,None
843604394117681152,2580,16206,None
843235543001513987,5661,20622,None
842846295480000512,3444,14686,None
842765311967449089,1203,6473,None
842535590457499648,3318,17420,None
842163532590374912,5492,23469,None
842115215311396866,2870,13446,None
841833993020538882,14185,0,None
841680585030541313,7431,24800,None
841439858740625411,3466,12128,K9VeteransDay
841320156043304961,5236,19053,None
841314665196081154,4396,15242,None
